Questions,Negative Retrieved Index
How many alsedas are there?,"['selia', 'selia_1']"
How many alsedas are there?,"['selia', 'selia_2']"
How many alsedas are there?,"['shower', 'shower_1']"
How many alsedas are there?,"['stair', 'stair_1']"
How many alsedas are there?,"['toilet', 'toilet_1']"
How many alsedas are there?,"['towel', 'towel_1']"
How many alsedas are there?,"['towel', 'towel_2']"
How many alsedas are there?,"['towel', 'towel_3']"
How many alsedas are there?,"['towel', 'towel_4']"
Could you count the number of alsedas?,"['alu chair', 'alu chair_1']"
Could you count the number of alsedas?,"['aspen tree', 'aspen tree_1']"
Could you count the number of alsedas?,"['bamboo basket pendant lamp', 'bamboo basket pendant lamp_1']"
Could you count the number of alsedas?,"['bathroom door', 'bathroom door_1']"
Could you count the number of alsedas?,"['bedroom door', 'bedroom door_1']"
Could you count the number of alsedas?,"['bedside table', 'bedside table_1']"
Could you count the number of alsedas?,"['courtyard door', 'courtyard door_1']"
Could you count the number of alsedas?,"['courtyard door', 'courtyard door_2']"
Could you count the number of alsedas?,"['courtyard door', 'courtyard door_3']"
Could you count the number of alsedas?,"['courtyard stair', 'courtyard stair_1']"
Could you count the number of alsedas?,"['hemnes drawer', 'hemnes drawer_1']"
Could you count the number of alsedas?,"['hemnes drawer', 'hemnes drawer_2']"
Could you count the number of alsedas?,"['hemnes shelf', 'hemnes shelf_1']"
Could you count the number of alsedas?,"['ikea superfront', 'ikea superfront_1']"
Could you count the number of alsedas?,"['ikea superfront mirror', 'ikea superfront mirror_1']"
Could you count the number of alsedas?,"['kitchen', 'kitchen_1']"
Could you count the number of alsedas?,"['kitchen accessory', 'kitchen accessory_1']"
Could you count the number of alsedas?,"['kitchen hood', 'kitchen hood_1']"
Could you count the number of alsedas?,"['knod', 'knod_1']"
Could you count the number of alsedas?,"['knod', 'knod_2']"
Could you count the number of alsedas?,"['low round table', 'low round table_1']"
Could you count the number of alsedas?,"['mac', 'mac_1']"
Could you count the number of alsedas?,"['mac keyboard', 'mac keyboard_1']"
Could you count the number of alsedas?,"['mac mouse', 'mac mouse_1']"
Could you count the number of alsedas?,"['mirror', 'mirror_1']"
Could you count the number of alsedas?,"['relax room door', 'relax room door_1']"
Could you count the number of alsedas?,"['selia', 'selia_1']"
Could you count the number of alsedas?,"['selia', 'selia_2']"
Could you count the number of alsedas?,"['shower', 'shower_1']"
Could you count the number of alsedas?,"['stair', 'stair_1']"
Could you count the number of alsedas?,"['toilet', 'toilet_1']"
Could you count the number of alsedas?,"['towel', 'towel_1']"
Could you count the number of alsedas?,"['towel', 'towel_2']"
Could you count the number of alsedas?,"['towel', 'towel_3']"
Could you count the number of alsedas?,"['towel', 'towel_4']"
What's the total quantity of alsedas?,"['alu chair', 'alu chair_1']"
What's the total quantity of alsedas?,"['aspen tree', 'aspen tree_1']"
What's the total quantity of alsedas?,"['bamboo basket pendant lamp', 'bamboo basket pendant lamp_1']"
What's the total quantity of alsedas?,"['bathroom door', 'bathroom door_1']"
What's the total quantity of alsedas?,"['bedroom door', 'bedroom door_1']"
What's the total quantity of alsedas?,"['bedside table', 'bedside table_1']"
What's the total quantity of alsedas?,"['courtyard door', 'courtyard door_1']"
What's the total quantity of alsedas?,"['courtyard door', 'courtyard door_2']"
What's the total quantity of alsedas?,"['courtyard door', 'courtyard door_3']"
What's the total quantity of alsedas?,"['courtyard stair', 'courtyard stair_1']"
What's the total quantity of alsedas?,"['hemnes drawer', 'hemnes drawer_1']"
What's the total quantity of alsedas?,"['hemnes drawer', 'hemnes drawer_2']"
What's the total quantity of alsedas?,"['hemnes shelf', 'hemnes shelf_1']"
What's the total quantity of alsedas?,"['ikea superfront', 'ikea superfront_1']"
What's the total quantity of alsedas?,"['ikea superfront mirror', 'ikea superfront mirror_1']"
What's the total quantity of alsedas?,"['kitchen', 'kitchen_1']"
What's the total quantity of alsedas?,"['kitchen accessory', 'kitchen accessory_1']"
What's the total quantity of alsedas?,"['kitchen hood', 'kitchen hood_1']"
What's the total quantity of alsedas?,"['knod', 'knod_1']"
What's the total quantity of alsedas?,"['knod', 'knod_2']"
What's the total quantity of alsedas?,"['low round table', 'low round table_1']"
What's the total quantity of alsedas?,"['mac', 'mac_1']"
What's the total quantity of alsedas?,"['mac keyboard', 'mac keyboard_1']"
What's the total quantity of alsedas?,"['mac mouse', 'mac mouse_1']"
What's the total quantity of alsedas?,"['mirror', 'mirror_1']"
What's the total quantity of alsedas?,"['relax room door', 'relax room door_1']"
What's the total quantity of alsedas?,"['selia', 'selia_1']"
What's the total quantity of alsedas?,"['selia', 'selia_2']"
What's the total quantity of alsedas?,"['shower', 'shower_1']"
What's the total quantity of alsedas?,"['stair', 'stair_1']"
What's the total quantity of alsedas?,"['toilet', 'toilet_1']"
What's the total quantity of alsedas?,"['towel', 'towel_1']"
What's the total quantity of alsedas?,"['towel', 'towel_2']"
What's the total quantity of alsedas?,"['towel', 'towel_3']"
What's the total quantity of alsedas?,"['towel', 'towel_4']"
Can you provide the count of alsedas?,"['alu chair', 'alu chair_1']"
Can you provide the count of alsedas?,"['aspen tree', 'aspen tree_1']"
Can you provide the count of alsedas?,"['bamboo basket pendant lamp', 'bamboo basket pendant lamp_1']"
Can you provide the count of alsedas?,"['bathroom door', 'bathroom door_1']"
Can you provide the count of alsedas?,"['bedroom door', 'bedroom door_1']"
Can you provide the count of alsedas?,"['bedside table', 'bedside table_1']"
Can you provide the count of alsedas?,"['courtyard door', 'courtyard door_1']"
Can you provide the count of alsedas?,"['courtyard door', 'courtyard door_2']"
Can you provide the count of alsedas?,"['courtyard door', 'courtyard door_3']"
Can you provide the count of alsedas?,"['courtyard stair', 'courtyard stair_1']"
Can you provide the count of alsedas?,"['hemnes drawer', 'hemnes drawer_1']"
Can you provide the count of alsedas?,"['hemnes drawer', 'hemnes drawer_2']"
Can you provide the count of alsedas?,"['hemnes shelf', 'hemnes shelf_1']"
Can you provide the count of alsedas?,"['ikea superfront', 'ikea superfront_1']"
Can you provide the count of alsedas?,"['ikea superfront mirror', 'ikea superfront mirror_1']"
Can you provide the count of alsedas?,"['kitchen', 'kitchen_1']"
Can you provide the count of alsedas?,"['kitchen accessory', 'kitchen accessory_1']"
Can you provide the count of alsedas?,"['kitchen hood', 'kitchen hood_1']"
Can you provide the count of alsedas?,"['knod', 'knod_1']"
Can you provide the count of alsedas?,"['knod', 'knod_2']"
Can you provide the count of alsedas?,"['low round table', 'low round table_1']"
Can you provide the count of alsedas?,"['mac', 'mac_1']"
Can you provide the count of alsedas?,"['mac keyboard', 'mac keyboard_1']"
Can you provide the count of alsedas?,"['mac mouse', 'mac mouse_1']"
Can you provide the count of alsedas?,"['mirror', 'mirror_1']"
Can you provide the count of alsedas?,"['relax room door', 'relax room door_1']"
Can you provide the count of alsedas?,"['selia', 'selia_1']"
Can you provide the count of alsedas?,"['selia', 'selia_2']"
Can you provide the count of alsedas?,"['shower', 'shower_1']"
Can you provide the count of alsedas?,"['stair', 'stair_1']"
Can you provide the count of alsedas?,"['toilet', 'toilet_1']"
Can you provide the count of alsedas?,"['towel', 'towel_1']"
Can you provide the count of alsedas?,"['towel', 'towel_2']"
Can you provide the count of alsedas?,"['towel', 'towel_3']"
Can you provide the count of alsedas?,"['towel', 'towel_4']"
Do you know how many alsedas exist?,"['alu chair', 'alu chair_1']"
Do you know how many alsedas exist?,"['aspen tree', 'aspen tree_1']"
Do you know how many alsedas exist?,"['bamboo basket pendant lamp', 'bamboo basket pendant lamp_1']"
Do you know how many alsedas exist?,"['bathroom door', 'bathroom door_1']"
Do you know how many alsedas exist?,"['bedroom door', 'bedroom door_1']"
Do you know how many alsedas exist?,"['bedside table', 'bedside table_1']"
Do you know how many alsedas exist?,"['courtyard door', 'courtyard door_1']"
Do you know how many alsedas exist?,"['courtyard door', 'courtyard door_2']"
Do you know how many alsedas exist?,"['courtyard door', 'courtyard door_3']"
Do you know how many alsedas exist?,"['courtyard stair', 'courtyard stair_1']"
Do you know how many alsedas exist?,"['hemnes drawer', 'hemnes drawer_1']"
Do you know how many alsedas exist?,"['hemnes drawer', 'hemnes drawer_2']"
Do you know how many alsedas exist?,"['hemnes shelf', 'hemnes shelf_1']"
Do you know how many alsedas exist?,"['ikea superfront', 'ikea superfront_1']"
Do you know how many alsedas exist?,"['ikea superfront mirror', 'ikea superfront mirror_1']"
Do you know how many alsedas exist?,"['kitchen', 'kitchen_1']"
Do you know how many alsedas exist?,"['kitchen accessory', 'kitchen accessory_1']"
Do you know how many alsedas exist?,"['kitchen hood', 'kitchen hood_1']"
Do you know how many alsedas exist?,"['knod', 'knod_1']"
Do you know how many alsedas exist?,"['knod', 'knod_2']"
Do you know how many alsedas exist?,"['low round table', 'low round table_1']"
Do you know how many alsedas exist?,"['mac', 'mac_1']"
Do you know how many alsedas exist?,"['mac keyboard', 'mac keyboard_1']"
Do you know how many alsedas exist?,"['mac mouse', 'mac mouse_1']"
Do you know how many alsedas exist?,"['mirror', 'mirror_1']"
Do you know how many alsedas exist?,"['relax room door', 'relax room door_1']"
Do you know how many alsedas exist?,"['selia', 'selia_1']"
Do you know how many alsedas exist?,"['selia', 'selia_2']"
Do you know how many alsedas exist?,"['shower', 'shower_1']"
Do you know how many alsedas exist?,"['stair', 'stair_1']"
Do you know how many alsedas exist?,"['toilet', 'toilet_1']"
Do you know how many alsedas exist?,"['towel', 'towel_1']"
Do you know how many alsedas exist?,"['towel', 'towel_2']"
Do you know how many alsedas exist?,"['towel', 'towel_3']"
Do you know how many alsedas exist?,"['towel', 'towel_4']"
What's the number of alsedas present?,"['alu chair', 'alu chair_1']"
What's the number of alsedas present?,"['aspen tree', 'aspen tree_1']"
What's the number of alsedas present?,"['bamboo basket pendant lamp', 'bamboo basket pendant lamp_1']"
What's the number of alsedas present?,"['bathroom door', 'bathroom door_1']"
What's the number of alsedas present?,"['bedroom door', 'bedroom door_1']"
What's the number of alsedas present?,"['bedside table', 'bedside table_1']"
What's the number of alsedas present?,"['courtyard door', 'courtyard door_1']"
What's the number of alsedas present?,"['courtyard door', 'courtyard door_2']"
What's the number of alsedas present?,"['courtyard door', 'courtyard door_3']"
What's the number of alsedas present?,"['courtyard stair', 'courtyard stair_1']"
What's the number of alsedas present?,"['hemnes drawer', 'hemnes drawer_1']"
What's the number of alsedas present?,"['hemnes drawer', 'hemnes drawer_2']"
What's the number of alsedas present?,"['hemnes shelf', 'hemnes shelf_1']"
What's the number of alsedas present?,"['ikea superfront', 'ikea superfront_1']"
What's the number of alsedas present?,"['ikea superfront mirror', 'ikea superfront mirror_1']"
What's the number of alsedas present?,"['kitchen', 'kitchen_1']"
What's the number of alsedas present?,"['kitchen accessory', 'kitchen accessory_1']"
What's the number of alsedas present?,"['kitchen hood', 'kitchen hood_1']"
What's the number of alsedas present?,"['knod', 'knod_1']"
What's the number of alsedas present?,"['knod', 'knod_2']"
What's the number of alsedas present?,"['low round table', 'low round table_1']"
What's the number of alsedas present?,"['mac', 'mac_1']"
What's the number of alsedas present?,"['mac keyboard', 'mac keyboard_1']"
What's the number of alsedas present?,"['mac mouse', 'mac mouse_1']"
What's the number of alsedas present?,"['mirror', 'mirror_1']"
What's the number of alsedas present?,"['relax room door', 'relax room door_1']"
What's the number of alsedas present?,"['selia', 'selia_1']"
What's the number of alsedas present?,"['selia', 'selia_2']"
What's the number of alsedas present?,"['shower', 'shower_1']"
What's the number of alsedas present?,"['stair', 'stair_1']"
What's the number of alsedas present?,"['toilet', 'toilet_1']"
What's the number of alsedas present?,"['towel', 'towel_1']"
What's the number of alsedas present?,"['towel', 'towel_2']"
What's the number of alsedas present?,"['towel', 'towel_3']"
What's the number of alsedas present?,"['towel', 'towel_4']"
How many alu chairs are there?,"['alseda', 'alseda_1']"
How many alu chairs are there?,"['alseda', 'alseda_2']"
How many alu chairs are there?,"['aspen tree', 'aspen tree_1']"
How many alu chairs are there?,"['bamboo basket pendant lamp', 'bamboo basket pendant lamp_1']"
How many alu chairs are there?,"['bathroom door', 'bathroom door_1']"
How many alu chairs are there?,"['bedroom door', 'bedroom door_1']"
How many alu chairs are there?,"['bedside table', 'bedside table_1']"
How many alu chairs are there?,"['courtyard door', 'courtyard door_1']"
How many alu chairs are there?,"['courtyard door', 'courtyard door_2']"
How many alu chairs are there?,"['courtyard door', 'courtyard door_3']"
How many alu chairs are there?,"['courtyard stair', 'courtyard stair_1']"
How many alu chairs are there?,"['hemnes drawer', 'hemnes drawer_1']"
How many alu chairs are there?,"['hemnes drawer', 'hemnes drawer_2']"
How many alu chairs are there?,"['hemnes shelf', 'hemnes shelf_1']"
How many alu chairs are there?,"['ikea superfront', 'ikea superfront_1']"
How many alu chairs are there?,"['ikea superfront mirror', 'ikea superfront mirror_1']"
How many alu chairs are there?,"['kitchen', 'kitchen_1']"
How many alu chairs are there?,"['kitchen accessory', 'kitchen accessory_1']"
How many alu chairs are there?,"['kitchen hood', 'kitchen hood_1']"
How many alu chairs are there?,"['knod', 'knod_1']"
